samples, error
16,1.3828348896194302
16,1.4589173986689423
16,1.3454020528150201
16,1.4527645497257664
16,1.1012185743713758
16,1.2902673269710798
16,1.3864536328802264
16,1.3093317544047127
16,1.67595953469379
16,1.2729332445167862
8,1.7158501051114692
8,1.5498786075756812
8,1.4578266118651328
8,1.4953109711869037
8,1.110039820460832
8,1.2337060962078783
8,1.3011114633322902
8,1.3621940180441396
8,1.4089049748779539
8,1.3387746243202965
4,1.7109512750567444
4,1.1255363149744646
4,1.1814990361601099
4,1.6955780077384652
4,1.6125822702156658
4,1.8268961583897443
4,1.4841883799213058
4,1.4846293924589269
4,1.6071393636641151
4,1.4303615494743651
2,1.378339421761704
2,2.2220756252206644
2,1.538641923226891
2,1.4923404923650063
2,1.533974709990528
2,1.985978048269525
2,1.5194879544483992
2,1.2819658396835218
2,1.4635892359071885
2,1.524032980299601
