samples, error
16,0.9064369879171179
16,1.2903851405580482
16,1.3874895850997215
16,1.7197173764430613
16,1.2040830649533354
16,1.2330298330447829
16,1.2570091520825075
16,1.4069956475552852
16,1.1668928314201492
16,2.313280923963896
8,2.307047427282553
8,2.289763085105297
8,0.9508948051726591
8,1.1790903830741613
8,1.2131683725141034
8,3.234402103406665
8,1.235312751923998
8,2.2914586852026706
8,1.5877097748800437
8,2.3115589857809393
4,2.297052132195633
4,1.0127691390573255
4,2.0115064880948834
4,1.230030868785062
4,1.5760755256760526
4,0.8843627623296532
4,2.0792200892457537
4,1.6395087951963558
4,2.432912910126567
4,1.6798978058766574
2,0.39562925837686813
2,1.290098092221767
2,1.4787560645526507
2,1.5805798065415793
2,2.341538954237831
2,1.59498875083637
2,1.1700648757592593
2,4.457777343524195
2,0.9900013411063182
2,5.303330347055914
0,2.9355025609533025
0,2.9969301660183185
0,2.9396504488859074
0,2.9550090179338255
0,2.939097857245363
0,2.9438265056934396
0,2.9494986724149603
0,2.9152088567993557
0,2.933066241765394
0,2.920535242017761
